City,Lat,lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bethel,41.3712,-73.414,89.35,61,40,1.99,US,1626465896
Lufilufi,-13.8745,-171.5986,81.32,78,33,23.55,WS,1626465727
Khanbari,27.3747,87.2039,73.31,94,100,0.87,NP,1626465896
Quime,-16.9833,-67.2167,61.84,43,3,5.95,BO,1626465897
Cape Town,-33.9258,18.4232,49.95,95,0,4.76,ZA,1626465620
Lorengau,-2.0226,147.2712,81.55,84,90,7.74,PG,1626465897
Bluff,-46.6,168.3333,43.81,93,99,8.72,NZ,1626465670
Lagoa,39.05,-27.9833,66.96,73,2,16.04,PT,1626465898
Zhigansk,66.7697,123.3711,57.96,56,43,11.77,RU,1626465898
São Filipe,14.8961,-24.4956,74.73,79,0,7.25,CV,1626465899
Ushuaia,-54.8,-68.3,30.18,94,78,0.85,AR,1626465608
Torbay,47.6666,-52.7314,73.83,77,100,11.48,CA,1626465801
Rikitea,-23.1203,-134.9692,72.7,66,10,8.05,PF,1626465899
Saint-Philippe,-21.3585,55.7679,67.39,81,42,15.52,RE,1626465900
Wakkanai,45.4094,141.6739,68.27,95,100,19.37,JP,1626465900
Eureka,40.8021,-124.1637,63.12,74,23,5.99,US,1626465901
George Town,5.4112,100.3354,81.84,87,20,2.3,MY,1626465901
Labuhan,-6.8844,112.2051,74.43,84,100,6.38,ID,1626465902
Hermanus,-34.4187,19.2345,51.91,77,0,5.95,ZA,1626465902
Busselton,-33.65,115.3333,45.05,78,100,0.83,AU,1626465845
Kapaa,22.0752,-159.319,81.27,79,86,3.0,US,1626465630
Port Blair,11.6667,92.75,81.18,83,100,10.69,IN,1626465903
Thessalon,46.2501,-83.5666,77.31,47,0,4.79,CA,1626465904
Beringovskiy,63.05,179.3167,46.42,95,100,9.69,RU,1626465904
Ahipara,-35.1667,173.1667,61.5,93,100,23.44,NZ,1626465904
Ribeira Grande,38.5167,-28.7,70.2,60,40,11.5,PT,1626465905
Séguéla,7.9611,-6.6731,73.18,93,100,4.41,CI,1626465905
Srandakan,-7.9386,110.2506,72.21,88,46,4.56,ID,1626465906
Diffa,13.3154,12.6113,93.04,39,57,6.38,NE,1626465906
Kyabé,9.4515,18.9449,76.55,76,32,4.05,TD,1626465907
Henties Bay,-22.116,14.2845,67.86,56,11,5.26,NA,1626465907
Tuktoyaktuk,69.4541,-133.0374,52.03,60,15,8.68,CA,1626465908
Hong Kong,22.2855,114.1577,83.21,86,100,1.01,HK,1626465908
Yellowknife,62.456,-114.3525,53.33,46,7,3.0,CA,1626465909
Punta Arenas,-53.15,-70.9167,37.11,86,98,4.52,CL,1626465690
Narsaq,60.9167,-46.05,59.22,56,100,3.15,GL,1626465650
Tavda,58.0425,65.2726,52.83,71,5,2.26,RU,1626465909
Faanui,-16.4833,-151.75,79.95,64,6,25.1,PF,1626465910
Mahébourg,-20.4081,57.7,70.25,77,75,13.98,MU,1626465910
Vallenar,-28.5708,-70.7581,73.13,26,36,4.76,CL,1626465911
Saint-Pierre,-21.3393,55.4781,67.51,76,20,16.11,RE,1626465911
Nishihara,26.1842,127.7558,79.3,86,75,6.91,JP,1626465912
Hithadhoo,-0.6,73.0833,83.17,75,69,11.61,MV,1626465912
Puerto Ayora,-0.7393,-90.3518,74.55,88,86,5.99,EC,1626465913
Bandarbeyla,9.4942,50.8122,76.64,79,70,34.31,SO,1626465914
Nerchinskiy Zavod,51.3088,119.61,60.01,91,100,3.31,RU,1626465914
Moose Factory,51.2585,-80.6094,79.16,39,6,8.16,CA,1626465651
Te Anau,-45.4167,167.7167,44.2,94,95,1.66,NZ,1626465915
San Patricio,28.017,-97.5169,90.37,54,18,17.58,US,1626465915
Farafangana,-22.8167,47.8333,69.28,81,100,10.09,MG,1626465916
Cherskiy,68.75,161.3,55.8,44,32,11.74,RU,1626465916
São Gabriel da Cachoeira,-0.1303,-67.0892,75.81,92,100,4.81,BR,1626465617
Souillac,-20.5167,57.5167,70.36,81,50,12.53,MU,1626465639
Saint Paul Harbor,57.79,-152.4072,62.87,67,82,1.28,US,1626465918
Hilo,19.7297,-155.09,76.62,78,90,0.0,US,1626465914
Abalak,58.1286,68.5944,49.44,94,0,4.43,RU,1626465918
Waddān,29.1614,16.139,91.71,24,0,11.14,LY,1626465919
Castro,-24.7911,-50.0119,57.24,98,100,1.95,BR,1626465919
Hobart,-42.8794,147.3294,40.8,94,20,1.01,AU,1626465920
Necochea,-38.5473,-58.7368,59.04,51,58,10.42,AR,1626465682
Chimaltenango,14.6686,-90.8167,75.76,51,91,4.54,GT,1626465920
Port Alfred,-33.5906,26.891,60.21,30,0,9.86,ZA,1626465921
Aplaya,8.6086,124.7681,76.62,93,100,3.56,PH,1626465922
Resplendor,-19.3256,-41.2553,82.81,39,0,2.73,BR,1626465923
Kahului,20.8947,-156.47,81.84,68,40,19.57,US,1626465921
East London,-33.0153,27.9116,58.33,39,0,6.64,ZA,1626465924
Rome,43.2128,-75.4557,76.21,69,20,9.22,US,1626465924
Tasiilaq,65.6145,-37.6368,51.96,67,0,7.38,GL,1626465924
Baijiantan,45.6333,85.1833,79.65,30,100,17.38,CN,1626465925
Atuona,-9.8,-139.0333,77.61,75,32,23.73,PF,1626465925
Trairi,-3.2778,-39.2689,80.87,74,3,13.44,BR,1626465926
Kuching,1.55,110.3333,75.42,100,40,2.3,MY,1626465926
Saskylakh,71.9167,114.0833,42.3,88,100,11.14,RU,1626465926
Portoferraio,42.8115,10.3146,72.63,73,8,16.44,IT,1626465927
Geraldton,-28.7667,114.6,55.81,94,75,4.61,AU,1626465628
Chui,-33.6971,-53.4616,53.26,75,0,4.32,UY,1626465928
Yakeshi,49.2833,120.7333,61.52,88,100,3.67,CN,1626465928
Chokurdakh,70.6333,147.9167,57.83,56,100,3.74,RU,1626465928
Nouadhibou,20.931,-17.0347,67.68,92,11,16.4,MR,1626465929
Comodoro Rivadavia,-45.8667,-67.5,49.42,46,63,20.38,AR,1626465825
Alyangula,-13.8483,136.4192,72.75,86,100,7.78,AU,1626465777
Arraial do Cabo,-22.9661,-42.0278,71.82,88,65,16.91,BR,1626465835
Kumul,42.8,93.45,88.93,18,0,6.02,CN,1626465930
Gbarnga,6.9956,-9.4722,72.37,98,100,4.29,LR,1626465930
Kruisfontein,-34.0033,24.7314,50.31,30,0,4.43,ZA,1626465931
Mataura,-46.1927,168.8643,43.48,99,100,3.15,NZ,1626465931
Albany,42.6001,-73.9662,82.53,65,68,10.96,US,1626465932
Upernavik,72.7868,-56.1549,46.51,60,100,33.42,GL,1626465932
Bereda,43.2686,-7.5406,63.9,97,2,5.55,ES,1626465932
Pisco,-13.7,-76.2167,68.05,64,20,12.66,PE,1626465933
Lebu,-37.6167,-73.65,51.01,61,9,15.37,CL,1626465933
Sitka,57.0531,-135.33,58.89,82,90,3.44,US,1626465934
Nikolskoye,59.7035,30.7861,76.89,67,21,3.0,RU,1626465934
